Sales, units;янв.18;фев.18;мар.18;апр.18
GIMTO6164N;37;23;6;0
YLTFD8278P;15;1;12;25
TFZAC7457G;148;73;143;0
IXDXN8949T;2;1;0;0
BIZCL4056G;11;-7;0;2
CEYHN5491M;0;0;0;2
EGPHM0961N;0;-3;0;0
TJEUK6794H;0;0;0;0
LSHPF6148N;0;0;0;0
WNUPN1924O;51;20;0;0
NEYIS2843D;54;63;12;14
PHLRZ2253Y;61;58;83;0
QFQIP6077N;127;154;18;22
VWPOM5482U;17;0;0;0
OMWSR1786U;187;16;46;66
ANUJJ8813Z;55;0;0;0
SJOWQ7997D;6;14;14;42
KJGSE5118O;3;7;6;7
FCCPY6855G;5;0;0;0
DOJNG6212V;12;20;3;41
HELBY4368G;23;19;36;22
NACWT3479M;9;2;6;0
FLVIS4435Z;12;6;5;8
QGICX3974C;12;22;6;2
BHMLI9093D;29;99;80;180
PRVUW4469D;1;0;0;0
RXXDP9114O;3;0;0;0
AEIXR0035T;432;0;0;0
KEUUX3532L;1;6;2;6
IPOOR8442C;16;21;20;90
JRVVT3219R;6;0;0;0
XAWCR0504T;1;0;0;0
TQKYI4992Z;24;0;12;25
AWTBO1944L;9;0;0;0
XQNQP8747G;9;0;0;0
JPZNW8476L;720;0;0;0
KEJRW2398R;9;0;0;0
XNNQY8257C;0;14;182;249
OUGNH3970H;0;-2;-1;3
DAYCA2672O;0;20;0;0
LEJLY4520R;0;-3;3;0
GPCFS5773B;0;444;441;627
DBAVG9331F;0;-1;0;1
LJYNC8028H;0;7;2;1
IWJVV2811H;0;-2;0;1
RSKCI1804A;0;-4;0;3
YERLQ0153D;0;8;12;1
KMVWE0163B;0;-3;-1;4
USXFQ1495U;0;27;88;87
VUOUA5599T;0;-12;4;0
NLQVB9144T;0;-3;0;0
QOGGI6195O;0;-2;0;2
OGSQO0306J;0;1;0;71
LGHVZ2792P;0;1;0;35
NCBRV2232F;0;1;0;59
OROYO2009Q;0;49;123;72
CKUAT8878J;0;-2;0;2
VWYWI9058C;0;109;585;745
DMHMF9764X;0;-4;0;0
DLREF8683G;0;-6;1;5
DQNUW9554S;0;17;45;62
AALLA4269P;0;-2;0;0
DSAPH7636F;0;0;-2;2
EVZIW3838K;0;0;-1;0
IFGGL0231H;0;0;0;0
OVFPR2789W;0;0;470;361
VFBHO2254N;0;0;-1;0
FCXWG1228X;0;0;-2;0
XBVWU3791O;0;0;-1;0
KGGBD1920E;0;0;4;40
OGBHI4158U;0;0;-2;0
FDAVL4176G;0;0;-2;2
HCLDZ7073K;0;0;-1;0
ZDRJV3987K;0;0;15;3
RMGUU0800B;0;0;0;0
FMVTX7020G;0;0;0;76
CECWY5233U;0;0;0;-3
